date,market,level,side,match,pinn_fair_odds,pinn_vig,best_book,best_price,value,won
2025-09-06,Home/Away,tour,Away,E. Bektas vs D. Vidmanova,1.5053,0.0453,WilliamHill,1.44,-0.04336,true
2025-09-06,Home/Away (1st Set),tour,Home,E. Bektas vs D. Vidmanova,2.6494,0.0431,bwin,2.5,-0.05637,false
2025-09-06,Home/Away (1st Set),tour,Away,E. Bektas vs D. Vidmanova,1.6063,0.0431,1xBet,1.54,-0.04127,true
2025-09-06,Home/Away (1st Set),tour,Home,A. Cardenas Olivares vs E. Pridankina,14.1346,0.0347,bet365,17,0.20272,false
2025-09-06,Home/Away (1st Set),tour,Away,A. Cardenas Olivares vs E. Pridankina,1.0761,0.0347,Betfair,1.06,-0.01499,true
2025-09-06,Home/Away,tour,Home,M. Kubka vs C. Brace,1.92,0.0435,Unibet,1.89,-0.01563,false
2025-09-06,Home/Away,tour,Away,M. Kubka vs C. Brace,2.087,0.0435,Betway,2,-0.04167,true
2025-09-06,Home/Away (1st Set),tour,Home,M. Kubka vs C. Brace,1.9343,0.0456,WilliamHill,1.85,-0.0436,true
2025-09-06,Home/Away (1st Set),tour,Away,M. Kubka vs C. Brace,2.0703,0.0456,bwin,1.9,-0.08225,false
2025-09-06,Home/Away,tour,Home,A. Kulikova vs H. Inoue,3.9688,0.0444,Betway,4,0.00787,true
2025-09-06,Home/Away,tour,Away,A. Kulikova vs H. Inoue,1.3368,0.0444,Unibet,1.3,-0.02756,false
2025-09-06,Home/Away (1st Set),tour,Home,A. Kulikova vs H. Inoue,3.1857,0.0411,Betway,3.2,0.00448,false
2025-09-06,Home/Away (1st Set),tour,Away,A. Kulikova vs H. Inoue,1.4575,0.0411,Betfair,1.44,-0.01202,true
2025-09-06,Home/Away,tour,Home,V. Lepchenko vs A. Smith,1.3256,0.0438,Unibet,1.27,-0.04197,false
2025-09-06,Home/Away,tour,Away,V. Lepchenko vs A. Smith,4.0709,0.0438,Betway,4,-0.01741,true
